	x		sin(x)*cos(c)		sin'(x)
	      4.26		      0.15		     -0.49
	      4.27		      0.15		     -0.49
	      4.28		      0.14		     -0.50
	      4.29		      0.14		     -0.50
	      4.30		      0.13		     -0.50
	      4.31		      0.13		     -0.50
	      4.32		      0.12		     -0.50
	      4.33		      0.12		     -0.50
	      4.34		      0.11		     -0.50
	      4.35		      0.11		     -0.49
	      4.36		      0.10		     -0.49
	      4.37		      0.10		     -0.49
	      4.38		      0.10		     -0.48
	      4.39		      0.09		     -0.48
	      4.40		      0.09		     -0.47
	      4.41		      0.08		     -0.46
	      4.42		      0.08		     -0.46
	      4.43		      0.07		     -0.45
	      4.44		      0.07		     -0.44
	      4.45		      0.06		     -0.43
	      4.46		      0.06		     -0.42
	      4.47		      0.05		     -0.41
	      4.48		      0.05		     -0.39
	      4.49		      0.05		     -0.38
	      4.50		      0.04		     -0.37
	      4.51		      0.04		     -0.35
	      4.52		      0.04		     -0.34
	      4.53		      0.03		     -0.33
	      4.54		      0.03		     -0.31
	      4.55		      0.03		     -0.29
	      4.56		      0.02		     -0.28
	      4.57		      0.02		     -0.26
	      4.58		      0.02		     -0.24
	      4.59		      0.01		     -0.23
	      4.60		      0.01		     -0.21
	      4.61		      0.01		     -0.19
	      4.62		      0.01		     -0.17
	      4.63		      0.01		     -0.15
	      4.64		      0.01		     -0.13
	      4.65		      0.00		     -0.11
	      4.66		      0.00		     -0.09
	      4.67		      0.00		     -0.07
	      4.68		      0.00		     -0.05
	      4.69		      0.00		     -0.03
	      4.70		      0.00		     -0.01
	      4.71		      0.00		      0.01
	      4.72		      0.00		      0.03
	      4.73		      0.00		      0.05
	      4.74		      0.00		      0.07
	      4.75		      0.00		      0.08
	      4.76		      0.00		      0.10
	      4.77		      0.00		      0.12
	      4.78		      0.00		      0.14
	      4.79		      0.01		      0.16
	      4.80		      0.01		      0.18
	      4.81		      0.01		      0.20
	      4.82		      0.01		      0.22
	      4.83		      0.01		      0.24
	      4.84		      0.02		      0.25
	      4.85		      0.02		      0.27
	      4.86		      0.02		      0.29
	      4.87		      0.02		      0.30
	      4.88		      0.03		      0.32
	      4.89		      0.03		      0.33
	      4.90		      0.03		      0.35
	      4.91		      0.04		      0.36
	      4.92		      0.04		      0.38
	      4.93		      0.04		      0.39
	      4.94		      0.05		      0.40
	      4.95		      0.05		      0.41
	      4.96		      0.06		      0.42
	      4.97		      0.06		      0.43
	      4.98		      0.07		      0.44
	      4.99		      0.07		      0.45
	      5.00		      0.07		      0.46
	      5.01		      0.08		      0.47
	      5.02		      0.08		      0.47
	      5.03		      0.09		      0.48
	      5.04		      0.09		      0.49
	      5.05		      0.10		      0.49
	      5.06		      0.10		      0.49
	      5.07		      0.11		      0.50
	      5.08		      0.11		      0.50
	      5.09		      0.12		      0.50
	      5.10		      0.12		      0.50
	      5.11		      0.13		      0.50
	      5.12		      0.13		      0.50
	      5.13		      0.14		      0.50
	      5.14		      0.14		      0.49
	      5.15		      0.15		      0.49
	      5.16		      0.15		      0.49
	      5.17		      0.16		      0.48
	      5.18		      0.16		      0.47
	      5.19		      0.17		      0.47
	      5.20		      0.17		      0.46
	      5.21		      0.18		      0.45
	      5.22		      0.18		      0.44
	      5.23		      0.18		      0.43
	      5.24		      0.19		      0.42
	      5.25		      0.19		      0.41
	      5.26		      0.20		      0.40
	      5.27		      0.20		      0.39
	      5.28		      0.21		      0.38
	      5.29		      0.21		      0.36
	      5.30		      0.21		      0.35
	      5.31		      0.22		      0.33
	      5.32		      0.22		      0.32
	      5.33		      0.22		      0.30
	      5.34		      0.23		      0.29
	      5.35		      0.23		      0.27
	      5.36		      0.23		      0.25
	      5.37		      0.23		      0.24
	      5.38		      0.24		      0.22
	      5.39		      0.24		      0.20
	      5.40		      0.24		      0.18
	      5.41		      0.24		      0.16
	      5.42		      0.24		      0.14
	      5.43		      0.25		      0.12
	      5.44		      0.25		      0.10
	      5.45		      0.25		      0.09
	      5.46		      0.25		      0.07
	      5.47		      0.25		      0.05
	      5.48		      0.25		      0.03
	      5.49		      0.25		      0.01
	      5.50		      0.25		     -0.01
	      5.51		      0.25		     -0.03
	      5.52		      0.25		     -0.05
	      5.53		      0.25		     -0.07
	      5.54		      0.25		     -0.09
	      5.55		      0.25		     -0.11
	      5.56		      0.25		     -0.13
	      5.57		      0.24		     -0.15
	      5.58		      0.24		     -0.17
	      5.59		      0.24		     -0.19
	      5.60		      0.24		     -0.21
	      5.61		      0.24		     -0.23
	      5.62		      0.24		     -0.24
	      5.63		      0.23		     -0.26
	      5.64		      0.23		     -0.28
	      5.65		      0.23		     -0.29
	      5.66		      0.22		     -0.31
	      5.67		      0.22		     -0.33
	      5.68		      0.22		     -0.34
	      5.69		      0.21		     -0.35
	      5.70		      0.21		     -0.37
	      5.71		      0.21		     -0.38
	      5.72		      0.20		     -0.39
	      5.73		      0.20		     -0.41
	      5.74		      0.20		     -0.42
	      5.75		      0.19		     -0.43
	      5.76		      0.19		     -0.44
	      5.77		      0.18		     -0.45
	      5.78		      0.18		     -0.46
	      5.79		      0.17		     -0.46
	      5.80		      0.17		     -0.47
	      5.81		      0.16		     -0.48
	      5.82		      0.16		     -0.48
	      5.83		      0.15		     -0.49
	      5.84		      0.15		     -0.49
	      5.85		      0.15		     -0.49
	      5.86		      0.14		     -0.50
	      5.87		      0.14		     -0.50
	      5.88		      0.13		     -0.50
	      5.89		      0.13		     -0.50
	      5.90		      0.12		     -0.50
	      5.91		      0.12		     -0.50
	      5.92		      0.11		     -0.50
	      5.93		      0.11		     -0.49
	      5.94		      0.10		     -0.49
	      5.95		      0.10		     -0.48
	      5.96		      0.09		     -0.48
	      5.97		      0.09		     -0.47
	      5.98		      0.08		     -0.46
	      5.99		      0.08		     -0.46
	      6.00		      0.07		     -0.45
	      6.01		      0.07		     -0.44
	      6.02		      0.06		     -0.43
	      6.03		      0.06		     -0.42
	      6.04		      0.05		     -0.41
	      6.05		      0.05		     -0.40
	      6.06		      0.05		     -0.38
	      6.07		      0.04		     -0.37
	      6.08		      0.04		     -0.36
	      6.09		      0.04		     -0.34
	      6.10		      0.03		     -0.33
	      6.11		      0.03		     -0.31
	      6.12		      0.03		     -0.30
	      6.13		      0.02		     -0.28
	      6.14		      0.02		     -0.26
	      6.15		      0.02		     -0.25
	      6.16		      0.01		     -0.23
	      6.17		      0.01		     -0.21
	      6.18		      0.01		     -0.19
	      6.19		      0.01		     -0.17
	      6.20		      0.01		     -0.15
	      6.21		      0.01		     -0.13
	      6.22		      0.00		     -0.12
	      6.23		      0.00		     -0.10
	      6.24		      0.00		     -0.08
	      6.25		      0.00		     -0.06
	      6.26		      0.00		     -0.04
	      6.27		      0.00		     -0.02
	      6.28		      0.00		      0.00
